id	mpn	title	description	link	image_link	price	brand	product_type	condition	google_product_category	manufacturer	availability
"KG-00001"	"KG-00001"	"Glaskraal driehoek groen "	"Driehoekige glaskraal van Tsjechisch glas. De doorboring loopt langs de lange zijde."	"http://www.kokettekatinka.be/glaskraal-rood-8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00001.jpg"	"5.3"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KM-00002"	"KM-00002"	"Kraal schijfvorm. Geborsteld verzilverd 14mm"	"Geborstelde Indische kraal in verzilverd metaal. Schijfvormig."	"http://www.kokettekatinka.be/kraal-schijfvorm-geborsteld-verzilverd-metaal-14"	"http://www.kokettekatinka.be/media/catalog/product/k/m/km-00002.jpg"	"7.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KM-00004"	"KM-00004"	"Kraal ruitvorm. Geborsteld verzilverd 13x8mm"	"Geborstelde Indische kraal in verzilverd metaal. Ruitvormig."	"http://www.kokettekatinka.be/kraal-ruitvorm-geborsteld-verzilverd-metaal"	"http://www.kokettekatinka.be/media/catalog/product/k/m/km-00004.jpg"	"6.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"OM-00001"	"OM-00001"	"Ringbasis voor cabochon 13x18mm"	"Verzilverde ring voor cabochon van 13x18 mm. Je kunt de ring een beetje dicht en open plooien om hem te doen passen. "	"http://www.kokettekatinka.be/ring-voor-cabochon-13x18mm"	"http://www.kokettekatinka.be/media/catalog/product/O/M/OM-00001.jpg"	"10"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00001"	"KE-00001"	"Cabochon aventurijn"	"Cabochon 13x18mm in aventurijn. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-aventurijn"	"http://www.kokettekatinka.be/media/catalog/product/K/E/KE-00001.jpg"	"9.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00002"	"KE-00002"	"Cabochon blauwe Onyx"	"Cabochon 13x18mm in blauwe Onyx. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-blauwe-onyx"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00002.jpg"	"10.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00003"	"KE-00003"	"Cabochon carneool"	"Cabochon 13x18mm in Carneool. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-carneool"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00003.jpg"	"10"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00004"	"KE-00004"	"Cabochon groene agaat"	"Cabochon 13x18mm in groene agaat. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-groene-agaat"	"http://www.kokettekatinka.be/media/catalog/product/K/E/KE-00004.jpg"	"10"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00005"	"KE-00005"	"Cabochon roze kwarts"	"Cabochon 13x18mm in roze kwarts. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-roze-kwarts"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00005.jpg"	"9.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
"KE-00006"	"KE-00006"	"Cabochon zwarte Onyx"	"Cabochon 13x18mm in zwarte onyx. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-zwarte-onyx"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00006.jpg"	"9.5"	""	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	"new"	"505372 - Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials"	""	"in stock"
