"Home","Home"
"Search entire store here...","Zoeken"
"Your Language:","Taal:"
"Currency:","Munt:"
"Shopping cart","Mandje"
"BAG","MANDJE"
"item(s)","product(en)"
"Navigation","Navigatie"
"Special Price","Prijsdaling"
"Special Price:","Prijsdaling"
"Regular Price:",""
"Newsletter","Inschrijven voor de nieuwsbrief"
"Your email","Je email"
"Subscribe","Inschrijven"
"Sign Up","Registreer"
"My Wishlist","Verlanglijst"
"My Wishlist (%d item)","Verlanglijst (%d)"
"My Wishlist (%d items)","Verlanglijst (%d)"
"My Account","Mijn profiel"
"Cart","Mandje"
"View contents of your shopping cart","Bekijk de inhoud van je winkelmandje"
"View shopping cart","Bekijk winkelmand"
"Your cart is empty","Je mand is leeg"
"Continue to Checkout","Afrekenen"
"Currency","Munt"
"Language","Taal"
"Enter your e-mail","Vul je email in"
"Click to see more products from %s","Klik om meer producten te zien van %s"
"From Twitter","Twitter"
"Facebook","Facebook"
"Categories","Categorieën"
"Related Products","Gerelateerde Producten"
"Popular Products","Populaire Producten"
"Availability:",""
"Sign In","Inloggen"
"Sign in","Inloggen"
"Create an Account","Registreer"
"No tags connected to product","No tags connected to product"
"View as","Bekijk"
"Price","Prijs"
"Price Slider","Prijsschuiver"
"prev","Vorige"
"next","Volgende"
"Qty","Hoeveelheid"
"You may also be interested in the following product(s)","Aanbevelingen"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","U bent nu uitgelogd en wordt binnen 5 seconden naar onze homepage doorgestuurd."
"You're now Logged Out","U bent nu uitgelogd"
"Unable to find Product ID","De productcode kon niet gevonden worden"
"%s was added to your shopping cart.","%s werd aan je mandje toegevoegd."
"Cannot add the item to shopping cart.","Dit item kan niet aan je mandje worden toegevoegd."
"Quote item is not found.","Dit product kan niet gevonden worden."
"%s was updated in your shopping cart.","%s werd aangepast in je mandje"
"Cannot update the item.","Het product kan niet aangepast worden."
"The product %s has been added to comparison list.","Het product %s werd aan de vergelijklijst toegevoegd."
"The product %s has been added to comparison list. %s View list %s","%s<br>werd aan de vergelijklijst toegevoegd. %s Bekijk de lijst %s"
"Wishlist Has Been Disabled By Admin","De verlanglijst is niet in werking"
"Please Login First","Gelieve eerst in te loggen"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Product niet gevonden"
"Cannot specify product.","Ongekend product."
"%1$s has been added to your wishlist.","%1$s werd aan je verlanglijst toegevoegd."
"An error occurred while adding item to wishlist: %s","Er liep iets fout bij het toevoegen aan de verlanglijst: %s"
"An error occurred while adding item to wishlist.","Er liep iets fout bij het toevoegen aan de verlanglijst."
"View Cart","Bekijk Mandje"
"View Cart or Checkout","Bekijk mandje of reken af"
"Continue to Checkout","Afrekenen"
"Edit item","Item aanpassen"
"Remove This Item","Item wissen"
"Are you sure you would like to remove this item from the shopping cart?","Mag dit product zeker uit je mandje gehaald worden?"
"Description","Beschrijving"
"Short Description","Korte beschrijving"
"No tags connected to product","No tags connected to product"
"You need to specify a username","Kies een gebruikersnaam"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Volg ons"
"on Twitter","op Twitter"
"On Sale","Koopjes"
"New Products","Laatste aanwinsten"
"quick view","vergroot"
"WRITE YOUR REVIEW", "WRITE YOUR REVIEW"
"more...","meer..."
"less...","minder..."
"Popular Brands","Populaire merken"
"Log Out","Uitloggen"
"The subscription has been saved.","We hebben je inschrijving goed ontvangen."
"The subscription has been removed.","We hebben je inschrijving gewist."
"Thank you for your subscription.","Bedankt. We houden je vanaf nu op de hoogte."
"Compare","Vergelijk"
"Clear shopping cart", "Leegmaken"
"Add to Cart", "In winkelmandje"
"Add to Compare", "Vergelijken"
"Sort By", "Sorteer op"
"Show","Toon"
"per page","per pagina"
"Items","Artikel"
"to","tot"
"of","van"
"total","totaal"
"Shop By","Filter op:"
"Hide", "Verbergen"
"Close","Sluiten"
"Your order has been received","We hebben je bestelling goed ontvangen."
"What's this","Wat is dit?"
"Recently added item(s)","Recent toegevoegde artikels"
"Cart Subtotal:","Subtotaal mandje:"
"You have no items in your shopping cart.","Je mandje bevat geen artikelen."
"You are now logged out","Je bent nu uitgelogd"
"You have logged out and will be redirected to our homepage in 5 seconds.","Je bent uitgelogd en wordt binnen 5 seconden doorgestuurd naar onze homepage."
"What's this?","Waarom?"
"Earn points for purchasing order","Gewonnen punten door bestelling"
"Earn points for purchasing order #%s","Gewonnen punten door bestelling %s"
"Earn points from shipping fee","Gewonnen punten door gratis verzending"
"Earn points from tax","Gewonnen punten door BTW"
"Taken back points for cancelling order","Teruggewonnen punten door geanulleerde bestelling"
"Taken back points for cancelling order #%s","Teruggewonnen punten door geanulleerde bestelling %s"
"Taken back points for refunding order","Teruggewonnen punten door terugbetaling bestelling"
"Taken back points for refunding order #%s","Teruggewonnen punten door terugbetaling bestelling %s"
"Change Password","Paswoord veranderen"
"Edit Address","Adres bewerken"
"Address Book","Adresboek"
"Maximize my discount with points","Gebruik al mijn kortingspunten."
"Discount Codes","Cadeaucheque & kortingscode"
"Enter your coupon code if you have one.","Voer je kortingscode in als je die hebt."
"Apply Coupon","Kortingscode gebruiken"
"Cancel Coupon", "Kortingscode annuleren"
"Apply","Invoeren"
"Place Order","Bestelling plaatsen"
"The account information has been saved.","Je gegevens zijn bijgewerkt."
"The address has been saved.","Je adres is bijgewerkt."
"Coupon code is not valid.","Sorry, ongeldige couponcode. Controlleer op tijpfouten aub."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Als wij een account vinden die gekoppeld is aan het email %s zal je zodadelijk een mail ontvangen om je paswoord te resetten."
"Comment","Je opmerkingen"
"Minimum order quantity","Minimale bestelhoeveelheid"
"per stuk(s)","per&nbsp;stuk"
"per meter","per&nbsp;meter"
"Not connect. Verify Network.","Geen connectie. Controlleer je netwerk."
"Please specify payment method","Kies een betaalwijze aub."
"Please specify shipping method","Kies een verzendwijze aub."
"Please specify a shipping method","Kies een verzendwijze aub."
"You own %s points.","Je verzamelde reeds %s kortingspunten."
"You will receive a discount of € %s.","Je korting bedraagt €&nbsp;%s."
"Please log in to spend your reward points.","Log in om van je kortingspunten gebruik te kunnen maken!"
"Use point","Korting"
"Cancel","Annuleer"
"Items %s to %s of %s total","Artikelen %s tot %s van de %s"
"The requested Payment Method is not available.","De gekozen betalingswijze is niet (meer) beschikbaar."
"Some of the products are currently out of stock.","Sommige artikels zijn momenteel niet in voorraad."
"The address has been deleted.","Het adres werd gewist."
"Spend points to purchase order","Gebruikte punten bij aankoop van bestelling"
"Spend points to purchase order #%s","Gebruikte punten bij aankoop van bestelling %s"
"Spend points to purchase order %s","Gebruikte punten bij aankoop van bestelling %s"
"Earn points for purchasing order","Verdiende punten bij aankoop van bestelling"
"Earn points for purchasing order #%s","Verdiende punten bij aankoop van bestelling %s"
"Earn points for purchasing order %s","Verdiende punten bij aankoop van bestelling %s"
"Refund Points Earn","Teruggave verdiende punten"
"N/A","n.v.t."
"Some of the products cannot be ordered in requested quantity.","Enkele artikelen kunnen niet besteld worden in de gevraagde hoeveelheid."
