"A fixed amount of Total Order Value","A fixed amount of Total Order Value"
"A percentage of Total Order Value","A percentage of Total Order Value"
"A transaction will be withheld for %s since creation.","A transaction will be withheld for %s since creation."
"A transaction will expire after %s since its creating date..","Kortingspunten blijven %s geldig."
"Account Dashboard","Accountoverzicht"
"Account balance is not enough to cancel.","Account balance is not enough to cancel."
"Account balance is not enough to create this transaction.","Account balance is not enough to create this transaction."
"Account balance of Customer is not enough to take points back.","Account balance of Customer is not enough to take points back."
"Action","Action"
"Action code %s not found on config.","Action code %s not found on config."
"Action model need implements from %s","Action model need implements from %s"
"Add Earning Rate","Add Earning Rate"
"Add Rate","Add Rate"
"Add Spending Rate","Add Spending Rate"
"Add Transaction","Add Transaction"
"Allow Everything","Allow Everything"
"Allow receiving points when invoice is created","Allow receiving points when invoice is created"
"Allow using points for Shipping Fee","Allow using points for Shipping Fee"
"Allow using points for Shipping Tax","Allow using points for Shipping Tax"
"An error occurred while changing the customer","An error occurred while changing the customer"
"Are you sure?","Are you sure?"
"Available Points Balance","Available Points Balance"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Cannot create transaction, please recheck form information.","Cannot create transaction, please recheck form information."
"Change Balance","Change Balance"
"Change Title","Change Title"
"Changed by Admin","Changed by Admin"
"Check out now to earn points!","Koop nu en verdien kortingspunten!"
"Choose how many points to spend","Kies het aantal te spenderen punten"
"Choose ways to spend points","Hoe wil je de punten spenderen?"
"Close","Sluiten"
"Complete","Volledig"
"Convert Discount Promotion To RewardPoints","Convert Discount Promotion To RewardPoints"
"Convert Rate","Convert Rate"
"Convert Type","Convert Type"
"Created at","Gecreëerd  op"
"Created time","Creatie-uur"
"Creating Date","Creatiedatum"
"Customer","Klant"
"Customer Email","Klant Email"
"Customer Groups","Customer Groups"
"Customer groups","Customer groups"
"Customer must be existed.","Customer must be existed."
"Customer not enough points to spend","Klant heeft geen punten te spenderen."
"Customer will earn","Klant zal verdienen"
"Customer will spend","Klant zal spenderen"
"Deduct points from Customer's balance when order status is","Deduct points from Customer's balance when order status is"
"Delete","Wis"
"Discount received","Bekomen korting"
"Display Collectible Points","Display Collectible Points"
"Display Configuration","Display Configuration"
"E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points.","E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points."
"E.g. When ","E.g. When "
"Each %s can be redeemed for %s.","%s is %s waard."
"Each %s get %s discount","%s = %s korting"
"Each %s spent for your order will earn %s.","Per aankoopschijf van %s verdien je %s."
"Each of %s gets %s discount","%s = %s korting"
"Earn Points","Verdiende punten"
"Earn points","Verdiende punten"
"Earn points for purchasing order","Gewonnen punten door bestelling"
"Earn points for purchasing order #%s","Gewonnen punten door bestelling %s"
"Earn points from shipping fee","Gewonnen punten door gratis verzending"
"Earn points from tax","Gewonnen punten door BTW"
"Earned Points","Verdiende Punten"
"Earning Configuration","Earning Configuration"
"Earning Rate","Earning Rate"
"Earning Rate Information","Earning Rate Information"
"Earning Rates","Earning Rates"
"Earning rate was successfully deleted","Earning rate was successfully deleted"
"Earning rate was successfully saved","Earning rate was successfully saved"
"Edit","Editeer"
"Edit Earning Rate #%s","Edit Earning Rate #%s"
"Edit Spending Rate #%s","Edit Spending Rate #%s"
"Email","Email"
"Email Configuration","Email Configuration"
"Email to a Friend","Email een vriend"
"Enable Reward Points","Enable Reward Points"
"Enable notification email","Enable notification email"
"Expiration Date","Vervaldatum"
"Expire","Vervalt"
"Expire On","Vervalt op"
"Expire Transaction Subscription","Expire Transaction Subscription"
"Expired","Vervallen"
"Expired at","Vervallen op"
"General Configuration","General Configuration"
"Get discount for spending points","Krijg korting door punten te spenderen"
"Group","Group"
"Higher priority Rate will be applied first","Higher priority Rate will be applied first"
"Hold point transactions for","Hold point transactions for"
"How you can earn points","Hoe verdien je punten?"
"How you can spend points","Waarvoor staat 1 punt?"
"ID","ID"
"If empty or zero, there is no limitation.","If empty or zero, there is no limitation."
"If empty, the default label 'Point' will be used.","If empty, the default label 'Point' will be used."
"If empty, the default label 'Points' will be used.","If empty, the default label 'Points' will be used."
"If no, Customers only receive points when the order is complete.","If no, Customers only receive points when the order is complete."
"Import Points Balance from CSV","Import Points Balance from CSV"
"Invalid transaction data to cancel.","Invalid transaction data to cancel."
"Invalid transaction data to complete.","Invalid transaction data to complete."
"Invalid transaction data to expire.","Invalid transaction data to expire."
"Item does not exist","Item does not exist"
"Label for Point","Label for Point"
"Label for Points (plural)","Label for Points (plural)"
"Limit spending points based on","Limit spending points based on"
"Limit value allowed to spend points at","Limit value allowed to spend points at"
"Loading payment method...","Laden betaalmethode ..."
"Loading total","Laden totaal"
"Magestore Extension","Magestore Extension"
"Max point balance allowed","Max point balance allowed"
"Max spending points per order","Max spending points per order"
"Maximize discount with points","Maximize discount with points"
"Maximize my discount with points","Maximize my discount with points"
