"%s index was rebuilt.","%s index was rebuilt."
"- Choose ","- Choose "
"- Fill in field ","- Fill in field "
"- Fill in field: ","- Fill in field: "
"-- Please Select Rule --","-- Please Select Rule --"
"1. If you want to allow Customers to spend 5 points only on a shopping cart to get the discount, then you can configure as below:","1. If you want to allow Customers to spend 5 points only on a shopping cart to get the discount, then you can configure as below:"
"1. If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:","1. If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:"
"1. If you want to give Customers 5 points for purchasing, then:","1. If you want to give Customers 5 points for purchasing, then:"
"2. If you want to configure that Customers need to spend at least 5 points on products:","2. If you want to configure that Customers need to spend at least 5 points on products:"
"2. If you want to give discount for every 5 points Customers spend on the order and limit the number of points that can be used to 15, then:","2. If you want to give discount for every 5 points Customers spend on the order and limit the number of points that can be used to 15, then:"
"3. If you want to give Customers 5 points for every 10 items they order and limit the number of points that can be earned to 15, then:","3. If you want to give Customers 5 points for every 10 items they order and limit the number of points that can be earned to 15, then:"
"3.If you want to configure that Customers need to spend 5 points on every %s of product price and limit the required number of points to 15, then:","3.If you want to configure that Customers need to spend 5 points on every %s of product price and limit the required number of points to 15, then:"
"A fixed amount of Price","A fixed amount of Price"
"A fixed amount of Total Order Value","A fixed amount of Total Order Value"
"A percentage of Price","A percentage of Price"
"A percentage of Total Order Value","A percentage of Total Order Value"
"Action","Action"
"Actions","Actions"
"Active","Active"
"Add Rule","Add Rule"
"Allow Everything","Allow Everything"
"Allow earning points from shipping fee","Allow earning points from shipping fee"
"Apply","Apply"
"Apply Rule","Apply Rule"
"Apply Rules","Apply Rules"
"Apply To","Apply To"
"Are you sure?","Are you sure?"
"By a fixed amount","By a fixed amount"
"By a percentage of the original price","By a percentage of the original price"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Catalog Earning Rule","Catalog Earning Rule"
"Catalog Earning Rule Information","Catalog Earning Rule Information"
"Catalog Earning Rule Manager","Catalog Earning Rule Manager"
"Catalog Earning Rules","Catalog Earning Rules"
"Catalog Spending Rule","Catalog Spending Rule"
"Catalog Spending Rule Information","Catalog Spending Rule Information"
"Catalog Spending Rule Manager","Catalog Spending Rule Manager"
"Catalog Spending Rules","Catalog Spending Rules"
"Close","Sluiten"
"Conditions","Conditions"
"Created on","Created on"
"Customer Groups","Customer Groups"
"Customer groups","Customer groups"
"Delete Rule","Delete Rule"
"Description","Description"
"Discount Amount","Discount Amount"
"Discount Type","Discount Type"
"Discount amount","Discount amount"
"Discount for every X points","Discount for every X points"
"Discount received for every X points in tab Conditions","Discount received for every X points in tab Conditions"
"Earning","Earning"
"Earning %s for this item","Earning %s for this item"
"Earning Point Action","Earning Point Action"
"Earning Points Product","Earning Points Product"
"Earning Rates","Earning Rates"
"Edit","Edit"
"Edit Rule","Edit Rule"
"Edit Rule ","Edit Rule "
"Edit item parameters","Edit item parameters"
"Enable","Enable"
"Example actions","Example actions"
"Example conditions","Example conditions"
"Example for ","Example for "
"Example:","Example:"
"Expired on","Expired on"
"From date","From date"
"General Information","General Information"
"General information","General information"
"Give X points for every Y amount of Price","Give X points for every Y amount of Price"
"Give X points for every Y amount of Profit","Give X points for every Y amount of Profit"
"Give X points for every Y money spent","Give X points for every Y money spent"
"Give X points for every Y qty purchased","Give X points for every Y qty purchased"
"Give a fixed discount amount for the whole cart","Give a fixed discount amount for the whole cart"
"Give a percent discount amount for the whole cart","Give a percent discount amount for the whole cart"
"Give discount for every X points","Give discount for every X points"
"Give discount for fixed X points","Give discount for fixed X points"
"Give fixed X points to Customers","Give fixed X points to Customers"
"ID","ID"
"If you want to apply the rule to items that cost more than %s and have brand Apple, the condition is:","If you want to apply the rule to items that cost more than %s and have brand Apple, the condition is:"
"If you want to apply the rule to orders that have over %s in Subtotal and Shipping to France, the condition is:","If you want to apply the rule to orders that have over %s in Subtotal and Shipping to France, the condition is:"
"If you want to apply the rule to products that cost more than %s and have brand Apple,  the condition is:","If you want to apply the rule to products that cost more than %s and have brand Apple,  the condition is:"
"If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:","If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:"
"If you want to give Customers 5 points for every %s of price they spend and limit the number of points that can be earned to 15, then:","If you want to give Customers 5 points for every %s of price they spend and limit the number of points that can be earned to 15, then:"
"If you want to give Customers 5 points for every %s of profit they make and limit the number of points that can be earned to 15, then:","If you want to give Customers 5 points for every %s of profit they make and limit the number of points that can be earned to 15, then:"
"If you want to give Customers 5 points for purchasing products, then:","If you want to give Customers 5 points for purchasing products, then:"
"Inactive","Inactive"
"Index point earning for Products","Index point earning for Products"
"It is valid until %s","It is valid until %s"
"Limit spending points based on","Limit spending points based on"
"Limit value allowed to spend points at","Limit value allowed to spend points at"
"Manage rule","Manage rule"
"Max points allowed to spendIf empty or zero, there is no limitation.","Max points allowed to spendIf empty or zero, there is no limitation."
"Max points earned by this rule","Max points earned by this rule"
"Maximum points allowed to spend for an order is %s","Maximum points allowed to spend for an order is %s"
"Move","Move"
"Move to Wishlist","Move to Wishlist"
"New rule","New rule"
"No","No"
"No Point","No Point"
"None","None"
"Not enough points to use the full catalog rule.","Not enough points to use the full catalog rule."
"On Catetory and Search result pages.","On Catetory and Search result pages."
"Please click","Please click"
"Points","Points"
"Points Spent","Points Spent"
"Price: ","Price: "
"Priority","Priority"
"Purchase and earn %s","Purchase and earn %s"
"Qty","Qty"
"Remove Rule","Remove Rule"
"Remove item","Remove item"
"Reward Points","Reward Points"
"Reward Points Rule","Reward Points Rule"
"Rule Manager","Rule Manager"
"Rule Name","Rule Name"
"Rule News","Rule News"
"Rule description shown on Reward Information page","Rule description shown on Reward Information page"
"Rule not found","Rule not found"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Rule with the highest priority will be applied first.","Rule with the highest priority will be applied first."
"Rules Manager","Rules Manager"
"Rules Plugin Configuration","Rules Plugin Configuration"
"Rules were successfully applied","Rules were successfully applied"
"Save And Continue Edit","Save And Continue Edit"
"Save Rule","Save Rule"
"See price before order confirmation.","See price before order confirmation."
"Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation.","Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation."
"Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation..","Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation.."
