id	mpn	title	description	link	image_link	price	condition	availability
"KG-00001"	"KG-00001"	"Glaskraal driehoek groen "	"Driehoekige glaskraal van Tsjechisch glas. De doorboring loopt langs de lange zijde."	"http://www.kokettekatinka.be/glaskraal-rood-8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00001.jpg"	"0.3"	"new"	"in stock"
"KM-00002"	"KM-00002"	"Kraal schijfvorm. Geborsteld verzilverd 14mm"	"Geborstelde Indische kraal in verzilverd metaal. Schijfvormig."	"http://www.kokettekatinka.be/kraal-schijfvorm-geborsteld-verzilverd-metaal-14"	"http://www.kokettekatinka.be/media/catalog/product/k/m/km-00002.jpg"	"2.5"	"new"	"in stock"
"KM-00004"	"KM-00004"	"Kraal ruitvorm. Geborsteld verzilverd 13x8mm"	"Geborstelde Indische kraal in verzilverd metaal. Ruitvormig."	"http://www.kokettekatinka.be/kraal-ruitvorm-geborsteld-verzilverd-metaal"	"http://www.kokettekatinka.be/media/catalog/product/k/m/km-00004.jpg"	"1.5"	"new"	"in stock"
"OM-00001"	"OM-00001"	"Ringbasis voor cabochon 13x18mm"	"Verzilverde ring voor cabochon van 13x18 mm. Je kunt de ring een beetje dicht en open plooien om hem te doen passen. "	"http://www.kokettekatinka.be/ring-voor-cabochon-13x18mm"	"http://www.kokettekatinka.be/media/catalog/product/O/M/OM-00001.jpg"	"5"	"new"	"in stock"
"KE-00001"	"KE-00001"	"Cabochon aventurijn"	"Cabochon 13x18mm in aventurijn. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-aventurijn"	"http://www.kokettekatinka.be/media/catalog/product/K/E/KE-00001.jpg"	"4.5"	"new"	"in stock"
"KE-00002"	"KE-00002"	"Cabochon blauwe Onyx"	"Cabochon 13x18mm in blauwe Onyx. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-blauwe-onyx"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00002.jpg"	"5.5"	"new"	"in stock"
"KE-00003"	"KE-00003"	"Cabochon carneool"	"Cabochon 13x18mm in Carneool. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-carneool"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00003.jpg"	"5"	"new"	"in stock"
"KE-00004"	"KE-00004"	"Cabochon groene agaat"	"Cabochon 13x18mm in groene agaat. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-groene-agaat"	"http://www.kokettekatinka.be/media/catalog/product/K/E/KE-00004.jpg"	"5"	"new"	"in stock"
"KE-00005"	"KE-00005"	"Cabochon roze kwarts"	"Cabochon 13x18mm in roze kwarts. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-roze-kwarts"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00005.jpg"	"4.5"	"new"	"in stock"
"KE-00006"	"KE-00006"	"Cabochon zwarte Onyx"	"Cabochon 13x18mm in zwarte onyx. Past op ringbasis 13x18mm."	"http://www.kokettekatinka.be/cabochon-zwarte-onyx"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00006.jpg"	"4.5"	"new"	"in stock"
"KE-00007"	"KE-00007"	"Briolette roze kwarts"	"Briolette in roze kwarts 12x15mm. Facetgeslepen.  Verschillen in grootte en kleur kunnen voorkomen. Bij bestelling van een paar, zoeken we naar twee stuks die bij elkaar passen."	"http://www.kokettekatinka.be/briolette-roze-kwarts-b-kwaliteit"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00007.jpg"	"2.2"	"new"	"in stock"
"KE-00008"	"KE-00008"	"Kraal blaadje zwarte onyx"	"Bladvormig kraaltje in zwarte onyx. De doorboring zit bovenaan zoals bij een briolette."	"http://www.kokettekatinka.be/bladvormige-kraal-zwarte-onyx"	"http://www.kokettekatinka.be/media/catalog/product/k/e/ke-00008.jpg"	"1.2"	"new"	"in stock"
