"+1 via Google+","+1 via Google+"
"-- Please Select --","-- Please Select --"
"(seconds). This is the minimum interval between 2 different Facebook Likes or Share in order for Customers to be rewarded.","(seconds). This is the minimum interval between 2 different Facebook Likes or Share in order for Customers to be rewarded."
"(seconds). This is the minimum interval between two different +1s in order for Customers to be rewarded.","(seconds). This is the minimum interval between two different +1s in order for Customers to be rewarded."
"(seconds). This is the minimum interval between two different Twitter tweets in order for Customers to be rewarded.","(seconds). This is the minimum interval between two different Twitter tweets in order for Customers to be rewarded."
"You have to check your link at <a href="http://www.google.com/webmasters/tools/richsnippets" target="_blank"> Webmasters Tool</a> before using this function","You have to check your link at <a href="http://www.google.com/webmasters/tools/richsnippets" target="_blank"> Webmasters Tool</a> before using this function"
"Allow Everything","Allow Everything"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Behavior Earning Rules","Behavior Earning Rules"
"Behavior Plugin Configuration","Behavior Plugin Configuration"
"Birthday","Birthday"
"Current Configuration Scope:","Current Configuration Scope:"
"Customer Behavior Earning Rules","Customer Behavior Earning Rules"
"Customer behavior earning","Customer behavior earning"
"Customer’s Birthday","Customer’s Birthday"
"Disabled","Disabled"
"Earn %s for registering an account.","Earn %s for registering an account."
"Earn %s for registering an account. a new account","Earn %s for registering an account. a new account"
"Earn %s for subscribing to newsletter. ","Earn %s for subscribing to newsletter. "
"Earn %s for taking poll. ","Earn %s for taking poll. "
"Earning","Earning"
"Earning Configuration","Earning Configuration"
"Earning Rates","Earning Rates"
"Email template sent to customer when birthday","Email template sent to customer when birthday"
"Email template sent to customers for their birthdays","Email template sent to customers for their birthdays"
"Enable","Enable"
"Enable Plugin","Enable Plugin"
"Enable email sent to Customers for their birthdays","Enable email sent to Customers for their birthdays"
"Enabled","Enabled"
"Like or share to receive points.","Like or share to receive points."
"Like via Facebook","Like via Facebook"
"Login or create an account","Login or create an account"
"Magestore Extension","Magestore Extension"
"Manage Stores","Manage Stores"
"Manage customer behavior earning rule","Manage customer behavior earning rule"
"Max points earned for +1 via Google+","Max points earned for +1 via Google+"
"Max points earned for Facebook like","Max points earned for Facebook like"
"Max points earned for rating products","Max points earned for rating products"
"Max points earned for reviewing products","Max points earned for reviewing products"
"Max points earned for sending links via Facebook","Max points earned for sending links via Facebook"
"Max points earned for tagging products","Max points earned for tagging products"
"Max points earned for taking polls","Max points earned for taking polls"
"Max points earned for tweeting on Twitter","Max points earned for tweeting on Twitter"
"Minimum interval between Likes","Minimum interval between Likes"
"Minimum interval between tweets","Minimum interval between tweets"
"Minimum interval between two +1s","Minimum interval between two +1s"
"Pages to display","Pages to display"
"Participate in poll","Participate in poll"
"Points earned for +1 via Google+","Points earned for +1 via Google+"
"Points earned for Facebook like","Points earned for Facebook like"
"Points earned for customer’s birthday","Points earned for customer’s birthday"
"Points earned for rating a product","Points earned for rating a product"
"Points earned for reviewing product","Points earned for reviewing product"
"Points earned for sending links via Facebook","Points earned for sending links via Facebook"
"Points earned for signing up","Points earned for signing up"
"Points earned for subscribing Newsletters","Points earned for subscribing Newsletters"
"Points earned for tagging a product","Points earned for tagging a product"
"Points earned for taking a poll","Points earned for taking a poll"
"Points earned for tweeting on Twitter","Points earned for tweeting on Twitter"
"Rate Products","Rate Products"
"Rate a product","Rate a product"
"Register Success","Register Success"
"Review Products","Review Products"
"Review product","Review product"
"RewardPoints Behavior","RewardPoints Behavior"
"RewardPointsBehavior Module Template","RewardPointsBehavior Module Template"
"Rule Manager","Rule Manager"
"Rules Manager","Rules Manager"
"Show Facebook like button on frontend","Show Facebook like button on frontend"
"Show Facebook like count on frontend","Show Facebook like count on frontend"
"Show Facebook share button on frontend","Show Facebook share button on frontend"
"Show Google+ button on frontend","Show Google+ button on frontend"
"Show Google+ count on frontend","Show Google+ count on frontend"
"Show Twitter tweet button on frontend","Show Twitter tweet button on frontend"
"Show Twitter tweet count on frontend","Show Twitter tweet count on frontend"
"Show collectible points of activities via Facebook, Twitter and G+","Show collectible points of activities via Facebook, Twitter and G+"
"Show collectible points of customer’s birthday","Show collectible points of customer’s birthday"
"Show collectible points of rating a product","Show collectible points of rating a product"
"Show collectible points of reviewing a product","Show collectible points of reviewing a product"
"Show collectible points of signing up","Show collectible points of signing up"
"Show collectible points of subscribing to newsletters","Show collectible points of subscribing to newsletters"
"Show collectible points of tagging a product","Show collectible points of tagging a product"
"Show collectible points of taking a poll","Show collectible points of taking a poll"
"Show collectible points via social channels","Show collectible points via social channels"
"Sign up and Subscribe to Newsletters","Sign up and Subscribe to Newsletters"
"Signup newsletter","Signup newsletter"
"Tag Products","Tag Products"
"Tag product","Tag product"
"Take Polls","Take Polls"
"The configuration has been saved.","The configuration has been saved."
"Tweeting via Twitter","Tweeting via Twitter"
"You can not earn more points today.","You can not earn more points today."
"You have just earned %s for +1 via Google+!","You have just earned %s for +1 via Google+!"
"You have just earned %s for liking this via Facebook.","You have just earned %s for liking this via Facebook."
"You have just earned %s for sending link via Facebook.","You have just earned %s for sending link via Facebook."
